QuarterEnd,ISDMR_Close_QuarterEnd
2016-03-31,2.3258
2016-06-30,1.33
2016-09-30,0.9175
2016-12-31,0.9314
2017-03-31,1.2697
2017-06-30,1.8345
2017-09-30,1.9839
2017-12-31,2.9063
2018-03-31,4.4501
2018-06-30,4.5871
2018-09-30,5.0518
2018-12-31,3.3719
2019-03-31,4.2595
2019-06-30,4.9622
2019-09-30,4.4229
2019-12-31,5.7605
2020-03-31,4.5164
2020-06-30,5.3506
2020-09-30,5.2997
2020-12-31,7.452
2021-03-31,9.9211
2021-06-30,9.2861
2021-09-30,9.4428
2021-12-31,20.4148
2022-03-31,26.8251
2022-06-30,22.2237
2022-09-30,24.3384
2022-12-31,32.6013
2023-03-31,31.5244
2023-06-30,33.7761
2023-09-30,40.7468
2023-12-31,33.874
2024-03-31,34.0894
2024-06-30,37.6951
2024-09-30,38.3107
2024-12-31,40.2571
2025-03-31,36.3446
2025-06-30,35.4111
2025-09-30,38.38
2025-12-31,35.26
