QuarterEnd,ISGSY_Close_QuarterEnd
2016-03-31,1.46
2016-06-30,1.39
2016-09-30,1.36
2016-12-31,1.5
2017-03-31,1.65
2017-06-30,1.81
2017-09-30,1.73
2017-12-31,1.74
2018-03-31,1.5
2018-06-30,1.66
2018-09-30,1.51
2018-12-31,2.04
2019-03-31,2.92
2019-06-30,2.74
2019-09-30,2.63
2019-12-31,3.8
2020-03-31,3.25
2020-06-30,7.43
2020-09-30,10.75
2020-12-31,18.95
2021-03-31,18.96
2021-06-30,9.64
2021-09-30,8.23
2021-12-31,8.33
2022-03-31,8.21
2022-06-30,7.61
2022-09-30,9.39
2022-12-31,17.25
2023-03-31,13.3
2023-06-30,12.8
2023-09-30,28.2
2023-12-31,22.6
2024-03-31,24.86
2024-06-30,26.54
2024-09-30,22.3
2024-12-31,40.5
2025-03-31,34.26
2025-06-30,36.56
2025-09-30,80.55
2025-12-31,68.1
