QuarterEnd,ISGYO_Close_QuarterEnd
2016-03-31,1.2729
2016-06-30,1.3387
2016-09-30,1.2909
2016-12-31,1.2431
2017-03-31,1.213
2017-06-30,1.313
2017-09-30,1.2321
2017-12-31,1.2231
2018-03-31,1.2199
2018-06-30,0.99
2018-09-30,0.91
2018-12-31,1.08
2019-03-31,0.94
2019-06-30,1.01
2019-09-30,0.97
2019-12-31,1.76
2020-03-31,1.27
2020-06-30,1.95
2020-09-30,1.75
2020-12-31,2.54
2021-03-31,1.97
2021-06-30,1.88
2021-09-30,2.1
2021-12-31,3.03
2022-03-31,11.23
2022-06-30,14.23
2022-09-30,6.12
2022-12-31,10.64
2023-03-31,9.08
2023-06-30,10.64
2023-09-30,23.66
2023-12-31,15.51
2024-03-31,14.73
2024-06-30,16.85
2024-09-30,17.6
2024-12-31,18.76
2025-03-31,16.28
2025-06-30,17.6
2025-09-30,18.97
2025-12-31,21.0
