QuarterEnd,ISKUR_Close_QuarterEnd
2016-03-31,7192.1704
2016-06-30,6193.2568
2016-09-30,6113.3452
2016-12-31,6193.2568
2017-03-31,6393.0405
2017-06-30,5996.6147
2017-09-30,8145.4009
2017-12-31,7735.6328
2018-03-31,7146.9653
2018-06-30,6760.9482
2018-09-30,7299.8442
2018-12-31,48601.625
2019-03-31,80999.4688
2019-06-30,153110.0156
2019-09-30,150998.8594
2019-12-31,209997.3906
2020-03-31,305997.7188
2020-06-30,409996.8438
2020-09-30,449997.5313
2020-12-31,379997.0625
2021-03-31,499996.125
2021-06-30,459996.875
2021-09-30,359998.3438
2021-12-31,699996.75
2022-03-31,971995.5
2022-06-30,1049998.875
2022-09-30,979999.125
2022-12-31,779999.3125
2023-03-31,674999.375
2023-06-30,799999.25
2023-09-30,3794996.75
2023-12-31,8930892.0
2024-03-31,6999993.5
2024-06-30,6799997.5
2024-09-30,5999998.0
2024-12-31,5999998.0
2025-03-31,5399997.5
2025-06-30,3240000.0
2025-09-30,4000000.0
2025-12-31,3600000.0
