QuarterEnd,IZFAS_Close_QuarterEnd
2016-03-31,0.108
2016-06-30,0.1136
2016-09-30,0.1145
2016-12-31,0.1446
2017-03-31,0.2347
2017-06-30,0.3521
2017-09-30,0.475
2017-12-31,1.3026
2018-03-31,0.7365
2018-06-30,1.411
2018-09-30,0.2507
2018-12-31,0.2915
2019-03-31,0.2309
2019-06-30,0.2338
2019-09-30,0.2676
2019-12-31,0.2535
2020-03-31,0.2352
2020-06-30,0.3352
2020-09-30,0.6337
2020-12-31,0.783
2021-03-31,1.4434
2021-06-30,0.7619
2021-09-30,0.9055
2021-12-31,0.9182
2022-03-31,0.8224
2022-06-30,0.6971
2022-09-30,1.5461
2022-12-31,1.7478
2023-03-31,2.0436
2023-06-30,3.4922
2023-09-30,2.9746
2023-12-31,4.4232
2024-03-31,5.6803
2024-06-30,15.2124
2024-09-30,18.2676
2024-12-31,19.965
2025-03-31,24.4689
2025-06-30,60.5
2025-09-30,45.3078
2025-12-31,56.6
