QuarterEnd,IZINV_Close_QuarterEnd
2016-03-31,0.7775
2016-06-30,0.9874
2016-09-30,0.8207
2016-12-31,0.8393
2017-03-31,1.1725
2017-06-30,1.3206
2017-09-30,1.1293
2017-12-31,1.1725
2018-03-31,1.5674
2018-06-30,1.1787
2018-09-30,1.697
2018-12-31,4.0667
2019-03-31,2.1105
2019-06-30,3.3447
2019-09-30,3.9124
2019-12-31,2.6165
2020-03-31,1.85
2020-06-30,5.57
2020-09-30,8.69
2020-12-31,18.0
2021-03-31,18.45
2021-06-30,20.0
2021-09-30,23.3
2021-12-31,18.98
2022-03-31,20.32
2022-06-30,15.89
2022-09-30,15.89
2022-12-31,24.6
2023-03-31,22.8
2023-06-30,26.5
2023-09-30,33.14
2023-12-31,36.72
2024-03-31,54.15
2024-06-30,52.9
2024-09-30,52.1
2024-12-31,43.26
2025-03-31,38.7
2025-06-30,42.88
2025-09-30,65.5
2025-12-31,64.0
