QuarterEnd,IZMDC_Close_QuarterEnd
2016-03-31,0.7068
2016-06-30,0.7099
2016-09-30,0.8051
2016-12-31,0.8143
2017-03-31,0.925
2017-06-30,0.9772
2017-09-30,0.9711
2017-12-31,0.9956
2018-03-31,0.8604
2018-06-30,0.7498
2018-09-30,0.6361
2018-12-31,0.5101
2019-03-31,0.504
2019-06-30,0.4917
2019-09-30,0.7467
2019-12-31,2.5168
2020-03-31,2.7657
2020-06-30,4.0102
2020-09-30,5.7556
2020-12-31,3.3096
2021-03-31,2.54
2021-06-30,2.46
2021-09-30,2.26
2021-12-31,2.33
2022-03-31,2.2
2022-06-30,2.18
2022-09-30,3.08
2022-12-31,5.68
2023-03-31,5.68
2023-06-30,6.42
2023-09-30,7.3
2023-12-31,5.78
2024-03-31,7.1
2024-06-30,6.37
2024-09-30,5.66
2024-12-31,5.45
2025-03-31,4.91
2025-06-30,5.28
2025-09-30,6.82
2025-12-31,6.76
