QuarterEnd,KAPLM_Close_QuarterEnd
2016-03-31,1.1047
2016-06-30,0.9654
2016-09-30,0.9953
2016-12-31,0.9654
2017-03-31,1.1246
2017-06-30,2.5379
2017-09-30,3.354
2017-12-31,3.9014
2018-03-31,4.6777
2018-06-30,3.8317
2018-09-30,3.4137
2018-12-31,3.5829
2019-03-31,3.145
2019-06-30,3.3241
2019-09-30,4.5782
2019-12-31,5.5236
2020-03-31,5.2848
2020-06-30,9.4848
2020-09-30,15.9937
2020-12-31,33.6395
2021-03-31,32.5447
2021-06-30,18.6709
2021-09-30,22.3534
2021-12-31,25.2993
2022-03-31,56.8787
2022-06-30,50.2602
2022-09-30,71.6
2022-12-31,116.0
2023-03-31,88.8
2023-06-30,85.0
2023-09-30,118.8
2023-12-31,87.0
2024-03-31,182.0
2024-06-30,236.4
2024-09-30,156.4
2024-12-31,187.5
2025-03-31,178.6
2025-06-30,211.4
2025-09-30,526.5
2025-12-31,300.0
