QuarterEnd,KAREL_Close_QuarterEnd
2016-03-31,0.1406
2016-06-30,0.1344
2016-09-30,0.1259
2016-12-31,0.146
2017-03-31,0.1962
2017-06-30,0.394
2017-09-30,0.3755
2017-12-31,0.4489
2018-03-31,0.6289
2018-06-30,0.4419
2018-09-30,0.4025
2018-12-31,0.3222
2019-03-31,0.5362
2019-06-30,0.489
2019-09-30,0.7494
2019-12-31,1.1225
2020-03-31,1.0275
2020-06-30,1.2739
2020-09-30,1.4369
2020-12-31,1.7815
2021-03-31,2.2296
2021-06-30,2.5695
2021-09-30,2.395
2021-12-31,3.1395
2022-03-31,3.2269
2022-06-30,3.3753
2022-09-30,4.3502
2022-12-31,12.9975
2023-03-31,8.1639
2023-06-30,9.1348
2023-09-30,15.8475
2023-12-31,11.61
2024-03-31,14.25
2024-06-30,15.5
2024-09-30,10.08
2024-12-31,10.2
2025-03-31,8.6
2025-06-30,8.63
2025-09-30,9.11
2025-12-31,8.4
