QuarterEnd,KARTN_Close_QuarterEnd
2016-03-31,8.8969
2016-06-30,8.5573
2016-09-30,7.8247
2016-12-31,8.6472
2017-03-31,9.2565
2017-06-30,9.114
2017-09-30,9.6561
2017-12-31,9.5382
2018-03-31,9.5652
2018-06-30,9.3926
2018-09-30,11.4185
2018-12-31,11.1854
2019-03-31,11.8264
2019-06-30,11.0984
2019-09-30,11.8734
2019-12-31,13.6723
2020-03-31,11.8874
2020-06-30,15.8898
2020-09-30,25.0981
2020-12-31,89.3927
2021-03-31,65.7231
2021-06-30,48.7686
2021-09-30,43.5093
2021-12-31,50.2793
2022-03-31,53.112
2022-06-30,70.9729
2022-09-30,66.927
2022-12-31,96.7103
2023-03-31,65.7084
2023-06-30,67.55
2023-09-30,94.4
2023-12-31,72.5
2024-03-31,149.0
2024-06-30,118.1
2024-09-30,86.25
2024-12-31,92.0
2025-03-31,85.35
2025-06-30,79.7
2025-09-30,86.65
2025-12-31,77.6
