QuarterEnd,KCHOL_Close_QuarterEnd
2016-03-31,10.9939
2016-06-30,10.2889
2016-09-30,10.1085
2016-12-31,10.8222
2017-03-31,12.0377
2017-06-30,12.9529
2017-09-30,13.089
2017-12-31,14.7942
2018-03-31,13.081
2018-06-30,11.6297
2018-09-30,13.9524
2018-12-31,11.6134
2019-03-31,13.1591
2019-06-30,14.7088
2019-09-30,15.8577
2019-12-31,17.0401
2020-03-31,11.2622
2020-06-30,15.3291
2020-09-30,12.4933
2020-12-31,17.9862
2021-03-31,16.5299
2021-06-30,16.1196
2021-09-30,19.8923
2021-12-31,24.9577
2022-03-31,34.8775
2022-06-30,32.9329
2022-09-30,40.8512
2022-12-31,75.3137
2023-03-31,70.382
2023-06-30,95.4067
2023-09-30,134.9678
2023-12-31,130.4597
2024-03-31,183.2692
2024-06-30,216.6873
2024-09-30,179.8085
2024-12-31,170.6365
2025-03-31,156.3053
2025-06-30,154.0
2025-09-30,172.9
2025-12-31,168.8
