QuarterEnd,KERVN_Close_QuarterEnd
2016-03-31,0.2
2016-06-30,0.22
2016-09-30,0.24
2016-12-31,0.22
2017-03-31,0.19
2017-06-30,0.39
2017-09-30,0.35
2017-12-31,0.35
2018-03-31,0.55
2018-06-30,0.39
2018-09-30,0.27
2018-12-31,0.35
2019-03-31,0.27
2019-06-30,0.24
2019-09-30,0.39
2019-12-31,0.55
2020-03-31,0.3
2020-06-30,0.46
2020-09-30,0.96
2020-12-31,1.26
2021-03-31,0.77
2021-06-30,0.65
2021-09-30,0.64
2021-12-31,0.6
2022-03-31,0.54
2022-06-30,0.52
2022-09-30,0.51
2022-12-31,1.13
2023-03-31,0.78
2023-06-30,0.8
2023-09-30,1.12
2023-12-31,0.99
2024-03-31,2.36
2024-06-30,2.36
2024-09-30,1.95
2024-12-31,2.2
2025-03-31,2.04
2025-06-30,1.88
2025-09-30,2.62
2025-12-31,2.24
