QuarterEnd,KFEIN_Close_QuarterEnd
2018-06-30,0.5121
2018-09-30,0.7866
2018-12-31,0.6776
2019-03-31,0.6902
2019-06-30,0.7034
2019-09-30,0.6975
2019-12-31,1.0959
2020-03-31,1.2237
2020-06-30,1.7288
2020-09-30,1.6765
2020-12-31,2.1096
2021-03-31,2.5991
2021-06-30,2.683
2021-09-30,2.0227
2021-12-31,1.8813
2022-03-31,1.8892
2022-06-30,2.3231
2022-09-30,2.0297
2022-12-31,3.1159
2023-03-31,2.3449
2023-06-30,2.2096
2023-09-30,4.5287
2023-12-31,5.8226
2024-03-31,14.0241
2024-06-30,11.5258
2024-09-30,10.2897
2024-12-31,8.6994
2025-03-31,11.4962
2025-06-30,9.155
2025-09-30,9.31
2025-12-31,8.7
