QuarterEnd,KGYO_Close_QuarterEnd
2016-03-31,0.0799
2016-06-30,0.0866
2016-09-30,0.0725
2016-12-31,0.0737
2017-03-31,0.0774
2017-06-30,0.1702
2017-09-30,0.1308
2017-12-31,0.1425
2018-03-31,0.145
2018-06-30,0.0971
2018-09-30,0.0903
2018-12-31,0.1057
2019-03-31,0.0878
2019-06-30,0.0878
2019-09-30,0.1167
2019-12-31,0.1487
2020-03-31,0.1388
2020-06-30,0.2389
2020-09-30,0.2709
2020-12-31,0.2733
2021-03-31,0.4208
2021-06-30,0.3335
2021-09-30,0.4331
2021-12-31,0.363
2022-03-31,0.3704
2022-06-30,0.551
2022-09-30,1.188
2022-12-31,1.8403
2023-03-31,3.188
2023-06-30,3.102
2023-09-30,3.1542
2023-12-31,1.7789
2024-03-31,2.0553
2024-06-30,1.8723
2024-09-30,2.5173
2024-12-31,3.102
2025-03-31,3.06
2025-06-30,3.54
2025-09-30,3.86
2025-12-31,5.01
