QuarterEnd,KLGYO_Close_QuarterEnd
2016-03-31,0.4087
2016-06-30,0.4197
2016-09-30,0.4087
2016-12-31,0.334
2017-03-31,0.4351
2017-06-30,0.6856
2017-09-30,0.9361
2017-12-31,0.8043
2018-03-31,0.7735
2018-06-30,0.4988
2018-09-30,0.3714
2018-12-31,0.3846
2019-03-31,0.4703
2019-06-30,0.3846
2019-09-30,0.4395
2019-12-31,0.8329
2020-03-31,0.4725
2020-06-30,0.9449
2020-09-30,1.5558
2020-12-31,1.9556
2021-03-31,1.7296
2021-06-30,1.3712
2021-09-30,1.5193
2021-12-31,1.2855
2022-03-31,1.01
2022-06-30,1.07
2022-09-30,1.41
2022-12-31,4.02
2023-03-31,2.45
2023-06-30,2.79
2023-09-30,3.96
2023-12-31,2.89
2024-03-31,5.4
2024-06-30,5.29
2024-09-30,4.34
2024-12-31,4.51
2025-03-31,4.64
2025-06-30,6.22
2025-09-30,6.15
2025-12-31,6.09
