QuarterEnd,KLMSN_Close_QuarterEnd
2016-03-31,1.5059
2016-06-30,1.7513
2016-09-30,2.0316
2016-12-31,2.9265
2017-03-31,3.0109
2017-06-30,2.9956
2017-09-30,2.1968
2017-12-31,2.2467
2018-03-31,2.8189
2018-06-30,1.9279
2018-09-30,2.2002
2018-12-31,1.8343
2019-03-31,3.0664
2019-06-30,4.2522
2019-09-30,5.1626
2019-12-31,10.4386
2020-03-31,6.0514
2020-06-30,8.0157
2020-09-30,7.3662
2020-12-31,8.3503
2021-03-31,10.5302
2021-06-30,9.6051
2021-09-30,9.5996
2021-12-31,10.0152
2022-03-31,10.6684
2022-06-30,10.0854
2022-09-30,13.3211
2022-12-31,23.3568
2023-03-31,17.3434
2023-06-30,19.68
2023-09-30,25.62
2023-12-31,21.96
2024-03-31,30.3
2024-06-30,30.0
2024-09-30,24.22
2024-12-31,28.58
2025-03-31,23.0
2025-06-30,23.12
2025-09-30,42.18
2025-12-31,31.48
