QuarterEnd,KLNMA_Close_QuarterEnd
2016-03-31,0.0981
2016-06-30,0.0942
2016-09-30,0.1563
2016-12-31,0.1647
2017-03-31,0.2415
2017-06-30,0.273
2017-09-30,0.38
2017-12-31,0.3224
2018-03-31,0.3172
2018-06-30,0.2596
2018-09-30,0.6868
2018-12-31,1.6302
2019-03-31,1.2471
2019-06-30,1.1287
2019-09-30,1.7645
2019-12-31,4.181
2020-03-31,2.5105
2020-06-30,3.9125
2020-09-30,4.4763
2020-12-31,5.53
2021-03-31,4.7359
2021-06-30,3.6498
2021-09-30,3.778
2021-12-31,3.7715
2022-03-31,3.4297
2022-06-30,2.7526
2022-09-30,4.2177
2022-12-31,4.2414
2023-03-31,3.1058
2023-06-30,3.2973
2023-09-30,7.3663
2023-12-31,7.9191
2024-03-31,8.9849
2024-06-30,9.4224
2024-09-30,9.1599
2024-12-31,8.1564
2025-03-31,7.35
2025-06-30,6.51
2025-09-30,11.9
2025-12-31,9.9
