QuarterEnd,KNFRT_Close_QuarterEnd
2016-03-31,0.33
2016-06-30,0.2795
2016-09-30,0.2948
2016-12-31,0.3075
2017-03-31,0.369
2017-06-30,0.4218
2017-09-30,0.3285
2017-12-31,0.3575
2018-03-31,0.475
2018-06-30,0.536
2018-09-30,0.585
2018-12-31,0.597
2019-03-31,0.5875
2019-06-30,0.785
2019-09-30,0.9875
2019-12-31,0.9775
2020-03-31,0.9075
2020-06-30,1.3138
2020-09-30,2.3925
2020-12-31,2.1125
2021-03-31,2.3737
2021-06-30,2.1325
2021-09-30,1.8
2021-12-31,2.29
2022-03-31,2.2
2022-06-30,3.6
2022-09-30,6.55
2022-12-31,7.545
2023-03-31,7.045
2023-06-30,7.695
2023-09-30,10.29
2023-12-31,9.14
2024-03-31,10.55
2024-06-30,10.73
2024-09-30,9.85
2024-12-31,11.0
2025-03-31,10.83
2025-06-30,12.49
2025-09-30,21.94
2025-12-31,13.04
