QuarterEnd,KONYA_Close_QuarterEnd
2016-03-31,299.0369
2016-06-30,255.199
2016-09-30,247.9022
2016-12-31,251.4084
2017-03-31,262.022
2017-06-30,251.5117
2017-09-30,253.9347
2017-12-31,247.1502
2018-03-31,235.5196
2018-06-30,207.5
2018-09-30,202.0
2018-12-31,178.0
2019-03-31,182.9
2019-06-30,179.5
2019-09-30,214.0
2019-12-31,271.3
2020-03-31,177.5
2020-06-30,276.5
2020-09-30,573.2
2020-12-31,1130.0
2021-03-31,1090.0
2021-06-30,806.2
2021-09-30,812.0
2021-12-31,988.0
2022-03-31,952.0
2022-06-30,961.0
2022-09-30,1292.1
2022-12-31,3430.0
2023-03-31,2675.0
2023-06-30,3425.5
2023-09-30,5297.0
2023-12-31,7205.0
2024-03-31,10795.0
2024-06-30,8022.5
2024-09-30,6980.0
2024-12-31,6700.0
2025-03-31,5687.5
2025-06-30,4900.0
2025-09-30,5010.0
2025-12-31,4577.5
