QuarterEnd,KRDMA_Close_QuarterEnd
2016-03-31,1.3456
2016-06-30,1.1268
2016-09-30,1.1187
2016-12-31,1.143
2017-03-31,1.1349
2017-06-30,1.5969
2017-09-30,1.9293
2017-12-31,2.3913
2018-03-31,3.0479
2018-06-30,2.7237
2018-09-30,2.3508
2018-12-31,1.4753
2019-03-31,1.8968
2019-06-30,1.8532
2019-09-30,1.8618
2019-12-31,2.4132
2020-03-31,1.7393
2020-06-30,3.8065
2020-09-30,5.4639
2020-12-31,5.4183
2021-03-31,5.646
2021-06-30,5.3728
2021-09-30,5.1269
2021-12-31,7.0029
2022-03-31,12.5032
2022-06-30,8.7034
2022-09-30,9.4168
2022-12-31,17.9777
2023-03-31,17.0283
2023-06-30,20.2788
2023-09-30,28.7565
2023-12-31,20.26
2024-03-31,19.19
2024-06-30,25.5
2024-09-30,19.43
2024-12-31,29.38
2025-03-31,34.14
2025-06-30,45.06
2025-09-30,31.94
2025-12-31,23.88
