QuarterEnd,KRDMB_Close_QuarterEnd
2016-03-31,1.4334
2016-06-30,1.2391
2016-09-30,1.1824
2016-12-31,1.1986
2017-03-31,1.1662
2017-06-30,1.5954
2017-09-30,2.3324
2017-12-31,2.3729
2018-03-31,3.0612
2018-06-30,2.7454
2018-09-30,2.3648
2018-12-31,1.482
2019-03-31,1.887
2019-06-30,1.86
2019-09-30,1.86
2019-12-31,2.4024
2020-03-31,1.729
2020-06-30,3.0849
2020-09-30,3.5581
2020-12-31,4.7957
2021-03-31,5.8421
2021-06-30,5.4144
2021-09-30,5.0959
2021-12-31,7.0069
2022-03-31,12.5033
2022-06-30,8.6971
2022-09-30,9.353
2022-12-31,16.5517
2023-03-31,15.4548
2023-06-30,19.0365
2023-09-30,25.8793
2023-12-31,19.01
2024-03-31,18.05
2024-06-30,22.68
2024-09-30,18.54
2024-12-31,24.8
2025-03-31,24.48
2025-06-30,25.04
2025-09-30,27.08
2025-12-31,22.86
