QuarterEnd,KRDMD_Close_QuarterEnd
2016-03-31,1.1924
2016-06-30,1.0599
2016-09-30,1.0516
2016-12-31,0.9522
2017-03-31,0.9605
2017-06-30,1.4491
2017-09-30,1.8797
2017-12-31,2.658
2018-03-31,3.279
2018-06-30,3.6517
2018-09-30,3.3619
2018-12-31,1.8051
2019-03-31,1.9873
2019-06-30,1.9756
2019-09-30,1.9581
2019-12-31,2.4676
2020-03-31,1.7626
2020-06-30,3.0149
2020-09-30,3.1448
2020-12-31,5.362
2021-03-31,6.5679
2021-06-30,6.1876
2021-09-30,5.9835
2021-12-31,8.5532
2022-03-31,14.1934
2022-06-30,10.837
2022-09-30,11.4807
2022-12-31,17.8105
2023-03-31,18.7907
2023-06-30,22.0035
2023-09-30,29.411
2023-12-31,23.76
2024-03-31,23.2
2024-06-30,31.5
2024-09-30,26.9
2024-12-31,27.1
2025-03-31,29.32
2025-06-30,24.12
2025-09-30,28.4
2025-12-31,25.26
