QuarterEnd,KRGYO_Close_QuarterEnd
2016-03-31,0.092
2016-06-30,0.1035
2016-09-30,0.1142
2016-12-31,0.1233
2017-03-31,0.1422
2017-06-30,0.1668
2017-09-30,0.1463
2017-12-31,0.1364
2018-03-31,0.1282
2018-06-30,0.1076
2018-09-30,0.0945
2018-12-31,0.1002
2019-03-31,0.0929
2019-06-30,0.138
2019-09-30,0.1265
2019-12-31,0.1964
2020-03-31,0.1602
2020-06-30,0.2695
2020-09-30,0.4248
2020-12-31,0.4766
2021-03-31,0.5423
2021-06-30,0.4256
2021-09-30,0.4026
2021-12-31,0.6467
2022-03-31,0.4602
2022-06-30,0.5727
2022-09-30,0.5333
2022-12-31,0.7699
2023-03-31,1.2638
2023-06-30,1.5169
2023-09-30,3.7305
2023-12-31,2.4651
2024-03-31,1.9672
2024-06-30,2.1726
2024-09-30,2.7429
2024-12-31,3.2416
2025-03-31,4.8481
2025-06-30,2.8719
2025-09-30,3.25
2025-12-31,2.85
