QuarterEnd,KRONT_Close_QuarterEnd
2016-03-31,0.3254
2016-06-30,0.2576
2016-09-30,0.2866
2016-12-31,0.4592
2017-03-31,1.0061
2017-06-30,1.5425
2017-09-30,1.3731
2017-12-31,1.6935
2018-03-31,1.2706
2018-06-30,0.9447
2018-09-30,1.1159
2018-12-31,0.7964
2019-03-31,0.7287
2019-06-30,0.7689
2019-09-30,0.876
2019-12-31,1.1644
2020-03-31,1.4527
2020-06-30,2.3874
2020-09-30,2.5961
2020-12-31,3.3723
2021-03-31,4.7372
2021-06-30,4.8699
2021-09-30,3.0758
2021-12-31,3.4236
2022-03-31,3.4822
2022-06-30,3.3119
2022-09-30,4.3207
2022-12-31,10.8933
2023-03-31,5.7625
2023-06-30,5.8384
2023-09-30,8.4803
2023-12-31,7.0
2024-03-31,11.2955
2024-06-30,11.1576
2024-09-30,10.3091
2024-12-31,12.1652
2025-03-31,8.8826
2025-06-30,8.27
2025-09-30,17.4
2025-12-31,12.87
