QuarterEnd,KRSTL_Close_QuarterEnd
2016-03-31,1.1222
2016-06-30,0.982
2016-09-30,1.0989
2016-12-31,1.1144
2017-03-31,1.5431
2017-06-30,1.7301
2017-09-30,2.6108
2017-12-31,1.4028
2018-03-31,1.4885
2018-06-30,1.0989
2018-09-30,1.2002
2018-12-31,0.8183
2019-03-31,0.6235
2019-06-30,0.6858
2019-09-30,0.943
2019-12-31,1.1768
2020-03-31,1.0053
2020-06-30,1.6911
2020-09-30,1.7457
2020-12-31,3.055
2021-03-31,2.1743
2021-06-30,1.4963
2021-09-30,1.32
2021-12-31,2.57
2022-03-31,6.46
2022-06-30,7.39
2022-09-30,5.62
2022-12-31,9.5
2023-03-31,8.66
2023-06-30,7.02
2023-09-30,10.64
2023-12-31,11.4
2024-03-31,9.0
2024-06-30,7.28
2024-09-30,5.92
2024-12-31,5.8
2025-03-31,6.23
2025-06-30,6.98
2025-09-30,10.01
2025-12-31,9.37
