QuarterEnd,KRTEK_Close_QuarterEnd
2016-03-31,0.51
2016-06-30,0.5
2016-09-30,0.47
2016-12-31,0.42
2017-03-31,0.5
2017-06-30,0.81
2017-09-30,2.03
2017-12-31,1.98
2018-03-31,1.39
2018-06-30,1.16
2018-09-30,1.15
2018-12-31,1.25
2019-03-31,1.23
2019-06-30,1.37
2019-09-30,1.99
2019-12-31,3.24
2020-03-31,2.06
2020-06-30,3.74
2020-09-30,5.73
2020-12-31,8.55
2021-03-31,18.51
2021-06-30,7.93
2021-09-30,8.36
2021-12-31,7.85
2022-03-31,12.4
2022-06-30,19.28
2022-09-30,21.3
2022-12-31,29.2
2023-03-31,20.22
2023-06-30,19.45
2023-09-30,28.88
2023-12-31,26.66
2024-03-31,33.4
2024-06-30,30.28
2024-09-30,25.5
2024-12-31,39.88
2025-03-31,24.16
2025-06-30,24.6
2025-09-30,33.14
2025-12-31,24.76
