QuarterEnd,KSTUR_Close_QuarterEnd
2016-03-31,9.1496
2016-06-30,7.5324
2016-09-30,6.179
2016-12-31,5.9583
2017-03-31,7.0617
2017-06-30,7.0533
2017-09-30,7.1839
2017-12-31,7.6833
2018-03-31,9.074
2018-06-30,10.0593
2018-09-30,10.2613
2018-12-31,12.9276
2019-03-31,16.1272
2019-06-30,24.5165
2019-09-30,19.8018
2019-12-31,22.3478
2020-03-31,22.7249
2020-06-30,53.9835
2020-09-30,209.9105
2020-12-31,149.7457
2021-03-31,269.1233
2021-06-30,261.9835
2021-09-30,159.9318
2021-12-31,242.0872
2022-03-31,241.7064
2022-06-30,201.8187
2022-09-30,204.9489
2022-12-31,339.2592
2023-03-31,277.5229
2023-06-30,301.9799
2023-09-30,837.6703
2023-12-31,1815.866
2024-03-31,6022.1572
2024-06-30,6882.436
2024-09-30,2994.8572
2024-12-31,2790.3792
2025-03-31,6353.7852
2025-06-30,3797.5
2025-09-30,3680.0
2025-12-31,2935.0
