QuarterEnd,KUVVA_Close_QuarterEnd
2016-03-31,0.68
2016-06-30,0.63
2016-09-30,0.6
2016-12-31,0.59
2017-03-31,0.56
2017-06-30,0.54
2017-09-30,0.52
2017-12-31,0.62
2018-03-31,0.56
2018-06-30,1.13
2018-09-30,2.37
2018-12-31,1.95
2019-03-31,2.41
2019-06-30,2.66
2019-09-30,1.8
2019-12-31,1.59
2020-03-31,1.61
2020-06-30,6.3
2020-09-30,15.69
2020-12-31,16.0
2021-03-31,17.0
2021-06-30,15.0
2021-09-30,14.92
2021-12-31,12.99
2022-03-31,18.83
2022-06-30,27.94
2022-09-30,44.0
2022-12-31,52.3
2023-03-31,40.1
2023-06-30,36.3
2023-09-30,77.95
2023-12-31,46.5
2024-03-31,42.52
2024-06-30,43.08
2024-09-30,44.0
2024-12-31,66.5
2025-03-31,54.0
2025-06-30,97.1
2025-09-30,131.5
2025-12-31,139.3
