QuarterEnd,KUYAS_Close_QuarterEnd
2016-03-31,0.5023
2016-06-30,0.4892
2016-09-30,0.4337
2016-12-31,0.4571
2017-03-31,0.5213
2017-06-30,0.6545
2017-09-30,0.5159
2017-12-31,0.6117
2018-03-31,0.7149
2018-06-30,0.4422
2018-09-30,0.2167
2018-12-31,0.192
2019-03-31,0.2922
2019-06-30,0.1988
2019-09-30,0.2107
2019-12-31,0.2803
2020-03-31,0.2005
2020-06-30,0.4468
2020-09-30,0.52
2020-12-31,0.575
2021-03-31,0.535
2021-06-30,0.5275
2021-09-30,0.6325
2021-12-31,1.2775
2022-03-31,1.4175
2022-06-30,1.65
2022-09-30,2.2575
2022-12-31,6.605
2023-03-31,6.235
2023-06-30,9.75
2023-09-30,16.1375
2023-12-31,13.3875
2024-03-31,11.28
2024-06-30,11.75
2024-09-30,16.625
2024-12-31,20.7
2025-03-31,38.0
2025-06-30,64.2
2025-09-30,52.4
2025-12-31,53.5
