QuarterEnd,LIDFA_Close_QuarterEnd
2016-03-31,0.0895
2016-06-30,0.1027
2016-09-30,0.2085
2016-12-31,0.2298
2017-03-31,0.2725
2017-06-30,0.2556
2017-09-30,0.2546
2017-12-31,0.2189
2018-03-31,0.2333
2018-06-30,0.199
2018-09-30,0.2085
2018-12-31,0.1813
2019-03-31,0.1862
2019-06-30,0.1628
2019-09-30,0.1958
2019-12-31,0.2958
2020-03-31,0.2337
2020-06-30,0.3836
2020-09-30,0.4852
2020-12-31,0.5496
2021-03-31,0.5496
2021-06-30,0.44
2021-09-30,0.5529
2021-12-31,0.6496
2022-03-31,0.7785
2022-06-30,1.8279
2022-09-30,1.0324
2022-12-31,1.5426
2023-03-31,1.4289
2023-06-30,1.5045
2023-09-30,3.0136
2023-12-31,3.7227
2024-03-31,3.6818
2024-06-30,3.7136
2024-09-30,3.05
2024-12-31,2.99
2025-03-31,2.84
2025-06-30,3.76
2025-09-30,3.79
2025-12-31,4.56
