QuarterEnd,LKMNH_Close_QuarterEnd
2016-03-31,0.285
2016-06-30,0.3205
2016-09-30,0.3017
2016-12-31,0.3757
2017-03-31,0.5453
2017-06-30,0.4779
2017-09-30,0.4395
2017-12-31,0.5963
2018-03-31,0.6418
2018-06-30,0.5363
2018-09-30,0.4807
2018-12-31,0.4451
2019-03-31,0.4421
2019-06-30,0.3679
2019-09-30,0.3937
2019-12-31,0.578
2020-03-31,0.605
2020-06-30,0.76
2020-09-30,1.0198
2020-12-31,1.0954
2021-03-31,1.7462
2021-06-30,1.328
2021-09-30,1.6776
2021-12-31,2.0516
2022-03-31,2.6046
2022-06-30,2.5455
2022-09-30,2.7525
2022-12-31,5.4658
2023-03-31,3.3904
2023-06-30,3.6439
2023-09-30,6.1074
2023-12-31,10.3596
2024-03-31,9.6311
2024-06-30,18.5612
2024-09-30,16.9397
2024-12-31,17.5638
2025-03-31,18.3245
2025-06-30,15.3152
2025-09-30,17.45
2025-12-31,19.19
