QuarterEnd,LOGO_Close_QuarterEnd
2016-03-31,11.926
2016-06-30,10.778
2016-09-30,12.024
2016-12-31,11.8389
2017-03-31,12.1656
2017-06-30,12.8518
2017-09-30,11.828
2017-12-31,12.7973
2018-03-31,10.6648
2018-06-30,9.1618
2018-09-30,7.5455
2018-12-31,5.9118
2019-03-31,8.5388
2019-06-30,9.0834
2019-09-30,8.7435
2019-12-31,13.2438
2020-03-31,13.0042
2020-06-30,16.8815
2020-09-30,21.347
2020-12-31,27.3372
2021-03-31,33.872
2021-06-30,29.1632
2021-09-30,36.555
2021-12-31,36.5374
2022-03-31,40.0841
2022-06-30,34.162
2022-09-30,40.6178
2022-12-31,62.5406
2023-03-31,59.1782
2023-06-30,60.8626
2023-09-30,74.1878
2023-12-31,68.1938
2024-03-31,77.7381
2024-06-30,98.9137
2024-09-30,88.0361
2024-12-31,104.3283
2025-03-31,117.6715
2025-06-30,159.0
2025-09-30,173.2
2025-12-31,150.5
