QuarterEnd,LUKSK_Close_QuarterEnd
2016-03-31,1.0173
2016-06-30,0.9261
2016-09-30,0.7823
2016-12-31,1.3681
2017-03-31,1.9118
2017-06-30,1.782
2017-09-30,1.5224
2017-12-31,1.6522
2018-03-31,1.7399
2018-06-30,1.4452
2018-09-30,1.6312
2018-12-31,1.7013
2019-03-31,1.6382
2019-06-30,1.4558
2019-09-30,2.1468
2019-12-31,3.0308
2020-03-31,2.5678
2020-06-30,5.3741
2020-09-30,10.2781
2020-12-31,10.1378
2021-03-31,27.6421
2021-06-30,16.9874
2021-09-30,15.7463
2021-12-31,17.8293
2022-03-31,21.8895
2022-06-30,20.5126
2022-09-30,21.3689
2022-12-31,32.6035
2023-03-31,27.2613
2023-06-30,39.52
2023-09-30,54.8
2023-12-31,63.6
2024-03-31,98.0
2024-06-30,110.0
2024-09-30,83.85
2024-12-31,95.1
2025-03-31,85.65
2025-06-30,80.55
2025-09-30,119.0
2025-12-31,102.9
