QuarterEnd,LYDYE_Close_QuarterEnd
2016-03-31,8.74
2016-06-30,8.79
2016-09-30,10.1
2016-12-31,8.2
2017-03-31,8.18
2017-06-30,7.76
2017-09-30,7.35
2017-12-31,8.15
2018-03-31,8.25
2018-06-30,7.01
2018-09-30,8.75
2018-12-31,6.8
2019-03-31,6.12
2019-06-30,5.64
2019-09-30,6.51
2019-12-31,7.24
2020-03-31,6.25
2020-06-30,16.37
2020-09-30,1034.9
2020-12-31,216.3
2021-03-31,229.5
2021-06-30,243.9
2021-09-30,194.5
2021-12-31,360.5
2022-03-31,266.6
2022-06-30,232.0
2022-09-30,216.2
2022-12-31,291.5
2023-03-31,223.0
2023-06-30,228.2
2023-09-30,2400.0
2023-12-31,3170.0
2024-03-31,12785.0
2024-06-30,12445.0
2024-09-30,9600.0
2024-12-31,11300.0
2025-03-31,11620.0
2025-06-30,12300.0
2025-09-30,12585.0
2025-12-31,13942.5
