QuarterEnd,MARKA_Close_QuarterEnd
2016-03-31,0.35
2016-06-30,0.38
2016-09-30,0.27
2016-12-31,0.9
2017-03-31,1.15
2017-06-30,2.2
2017-09-30,2.41
2017-12-31,1.69
2018-03-31,1.19
2018-06-30,0.94
2018-09-30,0.71
2018-12-31,0.62
2019-03-31,0.56
2019-06-30,0.65
2019-09-30,0.8
2019-12-31,1.18
2020-03-31,0.96
2020-06-30,2.41
2020-09-30,3.01
2020-12-31,6.43
2021-03-31,5.42
2021-06-30,4.86
2021-09-30,4.35
2021-12-31,4.21
2022-03-31,3.24
2022-06-30,2.75
2022-09-30,2.72
2022-12-31,5.02
2023-03-31,12.19
2023-06-30,9.96
2023-09-30,12.76
2023-12-31,32.68
2024-03-31,117.0
2024-06-30,79.85
2024-09-30,45.74
2024-12-31,53.45
2025-03-31,64.8
2025-06-30,49.06
2025-09-30,45.62
2025-12-31,37.16
