QuarterEnd,MARTI_Close_QuarterEnd
2016-03-31,0.3128
2016-06-30,0.2728
2016-09-30,0.2196
2016-12-31,0.2396
2017-03-31,0.4259
2017-06-30,0.3793
2017-09-30,0.5656
2017-12-31,0.5818
2018-03-31,0.6261
2018-06-30,0.5059
2018-09-30,0.4111
2018-12-31,0.3668
2019-03-31,0.3605
2019-06-30,0.3921
2019-09-30,0.5249
2019-12-31,0.5755
2020-03-31,0.3668
2020-06-30,0.7842
2020-09-30,0.8032
2020-12-31,1.3471
2021-03-31,1.4862
2021-06-30,1.2649
2021-09-30,1.0562
2021-12-31,1.1574
2022-03-31,1.4419
2022-06-30,1.49
2022-09-30,5.04
2022-12-31,8.01
2023-03-31,3.61
2023-06-30,3.06
2023-09-30,4.13
2023-12-31,3.83
2024-03-31,3.99
2024-06-30,3.56
2024-09-30,3.46
2024-12-31,3.45
2025-03-31,2.75
2025-06-30,3.12
2025-09-30,3.75
2025-12-31,2.68
