QuarterEnd,MAVI_Close_QuarterEnd
2017-06-30,2.3357
2017-09-30,2.8258
2017-12-31,3.1519
2018-03-31,2.9345
2018-06-30,2.1451
2018-09-30,1.9703
2018-12-31,1.7703
2019-03-31,2.1187
2019-06-30,2.2088
2019-09-30,2.5352
2019-12-31,3.1813
2020-03-31,1.8451
2020-06-30,2.6154
2020-09-30,2.1132
2020-12-31,2.8681
2021-03-31,2.544
2021-06-30,3.0962
2021-09-30,3.579
2021-12-31,3.8735
2022-03-31,4.2681
2022-06-30,5.8297
2022-09-30,8.1305
2022-12-31,14.9702
2023-03-31,11.8901
2023-06-30,18.386
2023-09-30,26.5825
2023-12-31,27.4788
2024-03-31,34.9086
2024-06-30,61.261
2024-09-30,43.5098
2024-12-31,42.0627
2025-03-31,33.4041
2025-06-30,38.46
2025-09-30,37.36
2025-12-31,43.52
