QuarterEnd,MEGAP_Close_QuarterEnd
2016-03-31,0.0539
2016-06-30,0.0457
2016-09-30,0.0516
2016-12-31,0.0696
2017-03-31,0.0778
2017-06-30,0.0861
2017-09-30,0.0861
2017-12-31,0.0853
2018-03-31,0.1205
2018-06-30,0.1916
2018-09-30,0.2507
2018-12-31,0.1527
2019-03-31,0.1669
2019-06-30,0.1175
2019-09-30,0.1549
2019-12-31,0.1646
2020-03-31,0.1197
2020-06-30,0.3218
2020-09-30,1.468
2020-12-31,1.4288
2021-03-31,1.4381
2021-06-30,1.4866
2021-09-30,0.9159
2021-12-31,1.3214
2022-03-31,1.4898
2022-06-30,1.2938
2022-09-30,2.2389
2022-12-31,4.6353
2023-03-31,2.9911
2023-06-30,4.03
2023-09-30,5.59
2023-12-31,4.14
2024-03-31,4.84
2024-06-30,8.04
2024-09-30,2.43
2024-12-31,3.06
2025-03-31,3.12
2025-06-30,3.42
2025-09-30,4.47
2025-12-31,3.3
