QuarterEnd,MEPET_Close_QuarterEnd
2016-03-31,2.43
2016-06-30,2.15
2016-09-30,2.06
2016-12-31,2.94
2017-03-31,2.88
2017-06-30,2.76
2017-09-30,2.36
2017-12-31,2.75
2018-03-31,2.32
2018-06-30,1.97
2018-09-30,1.63
2018-12-31,1.1
2019-03-31,1.13
2019-06-30,1.13
2019-09-30,1.39
2019-12-31,1.96
2020-03-31,1.15
2020-06-30,3.16
2020-09-30,3.6
2020-12-31,2.89
2021-03-31,2.55
2021-06-30,2.11
2021-09-30,2.64
2021-12-31,2.31
2022-03-31,2.55
2022-06-30,3.14
2022-09-30,3.89
2022-12-31,6.16
2023-03-31,4.0
2023-06-30,4.73
2023-09-30,7.98
2023-12-31,7.6
2024-03-31,13.56
2024-06-30,10.92
2024-09-30,9.81
2024-12-31,9.06
2025-03-31,8.55
2025-06-30,10.56
2025-09-30,15.28
2025-12-31,15.27
