QuarterEnd,MERIT_Close_QuarterEnd
2016-03-31,0.0376
2016-06-30,0.034
2016-09-30,0.0343
2016-12-31,0.0311
2017-03-31,0.0548
2017-06-30,0.0537
2017-09-30,0.0536
2017-12-31,0.0452
2018-03-31,0.0496
2018-06-30,0.0441
2018-09-30,0.0495
2018-12-31,0.046
2019-03-31,0.0568
2019-06-30,0.0988
2019-09-30,0.0921
2019-12-31,0.1492
2020-03-31,0.0998
2020-06-30,0.1919
2020-09-30,0.96
2020-12-31,0.6423
2021-03-31,1.8418
2021-06-30,1.3543
2021-09-30,1.2062
2021-12-31,2.4364
2022-03-31,2.586
2022-06-30,2.5106
2022-09-30,2.3058
2022-12-31,3.3234
2023-03-31,2.5858
2023-06-30,3.6118
2023-09-30,5.1738
2023-12-31,5.4818
2024-03-31,8.5409
2024-06-30,20.0547
2024-09-30,13.8022
2024-12-31,15.5937
2025-03-31,11.9548
2025-06-30,14.49
2025-09-30,17.79
2025-12-31,17.9
