QuarterEnd,MERKO_Close_QuarterEnd
2016-03-31,1.627
2016-06-30,1.3399
2016-09-30,1.308
2016-12-31,1.2016
2017-03-31,1.1485
2017-06-30,1.425
2017-09-30,1.3186
2017-12-31,1.4143
2018-03-31,1.3824
2018-06-30,0.9677
2018-09-30,0.9358
2018-12-31,0.9932
2019-03-31,0.6294
2019-06-30,0.649
2019-09-30,0.8162
2019-12-31,1.0325
2020-03-31,1.121
2020-06-30,1.534
2020-09-30,11.8003
2020-12-31,8.64
2021-03-31,7.16
2021-06-30,5.1
2021-09-30,4.82
2021-12-31,4.31
2022-03-31,3.71
2022-06-30,3.31
2022-09-30,5.88
2022-12-31,8.55
2023-03-31,5.94
2023-06-30,5.52
2023-09-30,9.74
2023-12-31,7.9
2024-03-31,12.9
2024-06-30,11.89
2024-09-30,16.67
2024-12-31,14.25
2025-03-31,13.75
2025-06-30,13.2
2025-09-30,15.04
2025-12-31,13.6
