QuarterEnd,MGROS_Close_QuarterEnd
2016-03-31,16.8511
2016-06-30,15.6239
2016-09-30,17.2571
2016-12-31,16.5962
2017-03-31,20.9199
2017-06-30,26.0178
2017-09-30,24.2996
2017-12-31,26.0178
2018-03-31,22.4493
2018-06-30,19.3906
2018-09-30,15.2746
2018-12-31,14.0662
2019-03-31,12.8012
2019-06-30,12.7729
2019-09-30,19.5983
2019-12-31,22.8647
2020-03-31,21.392
2020-06-30,36.3456
2020-09-30,38.8945
2020-12-31,40.4049
2021-03-31,33.0414
2021-06-30,30.6813
2021-09-30,29.7562
2021-12-31,35.8169
2022-03-31,43.1238
2022-06-30,45.3139
2022-09-30,95.5369
2022-12-31,138.3019
2023-03-31,158.1268
2023-06-30,203.7505
2023-09-30,349.9985
2023-12-31,321.0555
2024-03-31,397.7255
2024-06-30,515.5938
2024-09-30,437.7683
2024-12-31,535.5346
2025-03-31,484.8693
2025-06-30,491.1617
2025-09-30,441.7726
2025-12-31,522.0
