QuarterEnd,MMCAS_Close_QuarterEnd
2016-03-31,0.5
2016-06-30,0.67
2016-09-30,0.42
2016-12-31,0.5
2017-03-31,0.84
2017-06-30,0.96
2017-09-30,0.91
2017-12-31,1.39
2018-03-31,1.55
2018-06-30,1.16
2018-09-30,1.02
2018-12-31,1.1
2019-03-31,1.03
2019-06-30,1.08
2019-09-30,0.99
2019-12-31,1.14
2020-03-31,0.85
2020-06-30,1.79
2020-09-30,7.32
2020-12-31,4.6
2021-03-31,5.3
2021-06-30,6.7
2021-09-30,5.5
2021-12-31,2.74
2022-03-31,2.41
2022-06-30,2.85
2022-09-30,4.46
2022-12-31,6.1
2023-03-31,5.4
2023-06-30,4.55
2023-09-30,13.09
2023-12-31,8.12
2024-03-31,14.04
2024-06-30,20.68
2024-09-30,24.26
2024-12-31,20.3
2025-03-31,22.82
2025-06-30,26.0
2025-09-30,71.5
2025-12-31,134.9
