QuarterEnd,MNDRS_Close_QuarterEnd
2016-03-31,0.53
2016-06-30,0.59
2016-09-30,0.61
2016-12-31,0.6
2017-03-31,0.7
2017-06-30,0.83
2017-09-30,0.82
2017-12-31,0.83
2018-03-31,1.21
2018-06-30,0.77
2018-09-30,0.69
2018-12-31,0.72
2019-03-31,0.67
2019-06-30,0.67
2019-09-30,0.82
2019-12-31,1.31
2020-03-31,1.22
2020-06-30,3.33
2020-09-30,3.19
2020-12-31,3.09
2021-03-31,3.03
2021-06-30,2.01
2021-09-30,2.09
2021-12-31,2.14
2022-03-31,2.04
2022-06-30,3.19
2022-09-30,6.48
2022-12-31,8.7
2023-03-31,9.09
2023-06-30,8.39
2023-09-30,13.3
2023-12-31,8.42
2024-03-31,11.02
2024-06-30,12.09
2024-09-30,11.3
2024-12-31,9.79
2025-03-31,9.39
2025-06-30,11.07
2025-09-30,16.44
2025-12-31,13.39
