QuarterEnd,MNDTR_Close_QuarterEnd
2016-03-31,0.4382
2016-06-30,0.4088
2016-09-30,0.4456
2016-12-31,0.4419
2017-03-31,0.464
2017-06-30,0.5561
2017-09-30,0.7476
2017-12-31,0.6666
2018-03-31,0.6592
2018-06-30,0.6334
2018-09-30,0.8986
2018-12-31,0.685
2019-03-31,0.7329
2019-06-30,0.5487
2019-09-30,0.6113
2019-12-31,1.5247
2020-03-31,2.3164
2020-06-30,2.6295
2020-09-30,2.4932
2020-12-31,2.7989
2021-03-31,2.357
2021-06-30,2.2538
2021-09-30,2.9462
2021-12-31,3.7232
2022-03-31,4.051
2022-06-30,8.7502
2022-09-30,7.1629
2022-12-31,8.4998
2023-03-31,5.5683
2023-06-30,5.281
2023-09-30,6.6179
2023-12-31,5.4357
2024-03-31,6.59
2024-06-30,7.06
2024-09-30,6.26
2024-12-31,5.83
2025-03-31,5.21
2025-06-30,5.65
2025-09-30,7.09
2025-12-31,6.57
