QuarterEnd,MRGYO_Close_QuarterEnd
2016-03-31,0.1123
2016-06-30,0.1067
2016-09-30,0.0955
2016-12-31,0.1067
2017-03-31,0.1461
2017-06-30,0.132
2017-09-30,0.177
2017-12-31,0.5955
2018-03-31,0.3062
2018-06-30,0.1966
2018-09-30,0.1826
2018-12-31,0.1826
2019-03-31,0.1713
2019-06-30,0.1685
2019-09-30,0.2219
2019-12-31,0.2837
2020-03-31,0.2163
2020-06-30,0.5112
2020-09-30,0.6011
2020-12-31,0.7724
2021-03-31,0.7752
2021-06-30,0.3206
2021-09-30,0.2995
2021-12-31,0.2571
2022-03-31,0.2813
2022-06-30,0.4961
2022-09-30,0.8288
2022-12-31,2.2232
2023-03-31,1.1887
2023-06-30,1.9147
2023-09-30,2.7858
2023-12-31,1.5578
2024-03-31,1.5241
2024-06-30,1.9069
2024-09-30,1.5414
2024-12-31,1.75
2025-03-31,1.37
2025-06-30,2.16
2025-09-30,3.33
2025-12-31,2.39
