QuarterEnd,MRSHL_Close_QuarterEnd
2016-03-31,36.28
2016-06-30,32.5
2016-09-30,35.58
2016-12-31,34.5
2017-03-31,36.0
2017-06-30,36.3
2017-09-30,37.02
2017-12-31,51.8
2018-03-31,56.5
2018-06-30,56.75
2018-09-30,39.2
2018-12-31,25.22
2019-03-31,23.14
2019-06-30,25.8
2019-09-30,31.3
2019-12-31,47.54
2020-03-31,42.92
2020-06-30,81.7
2020-09-30,414.4
2020-12-31,306.7
2021-03-31,279.5
2021-06-30,250.0
2021-09-30,277.5
2021-12-31,226.3
2022-03-31,216.0
2022-06-30,196.4
2022-09-30,222.7
2022-12-31,429.8
2023-03-31,492.7
2023-06-30,489.4
2023-09-30,677.0
2023-12-31,1843.0
2024-03-31,2227.0
2024-06-30,1949.0
2024-09-30,1589.0
2024-12-31,1554.0
2025-03-31,1395.0
2025-06-30,1325.0
2025-09-30,1942.0
2025-12-31,1568.0
