QuarterEnd,MSGYO_Close_QuarterEnd
2017-03-31,0.3545
2017-06-30,0.3411
2017-09-30,0.4782
2017-12-31,0.4942
2018-03-31,0.4314
2018-06-30,0.3732
2018-09-30,0.2916
2018-12-31,0.3675
2019-03-31,0.2883
2019-06-30,0.2618
2019-09-30,0.3243
2019-12-31,0.454
2020-03-31,0.3819
2020-06-30,0.627
2020-09-30,0.8792
2020-12-31,1.1395
2021-03-31,1.1734
2021-06-30,1.0984
2021-09-30,1.0766
2021-12-31,1.0186
2022-03-31,0.9723
2022-06-30,1.0284
2022-09-30,1.1223
2022-12-31,1.9147
2023-03-31,1.5173
2023-06-30,1.7922
2023-09-30,2.7601
2023-12-31,3.636
2024-03-31,3.6598
2024-06-30,3.705
2024-09-30,3.7156
2024-12-31,3.8405
2025-03-31,4.2157
2025-06-30,4.0108
2025-09-30,5.7771
2025-12-31,6.2
