QuarterEnd,MTRYO_Close_QuarterEnd
2016-03-31,0.6595
2016-06-30,0.7492
2016-09-30,0.6912
2016-12-31,0.6912
2017-03-31,0.8442
2017-06-30,0.8633
2017-09-30,0.796
2017-12-31,1.2052
2018-03-31,1.3174
2018-06-30,0.6559
2018-09-30,0.6278
2018-12-31,0.686
2019-03-31,0.7848
2019-06-30,0.7209
2019-09-30,0.7616
2019-12-31,4.7205
2020-03-31,2.0172
2020-06-30,2.1953
2020-09-30,2.089
2020-12-31,2.1123
2021-03-31,1.8675
2021-06-30,1.6318
2021-09-30,1.6408
2021-12-31,1.4271
2022-03-31,1.492
2022-06-30,1.4456
2022-09-30,1.8812
2022-12-31,3.6089
2023-03-31,2.9416
2023-06-30,4.6614
2023-09-30,7.3963
2023-12-31,7.0569
2024-03-31,8.6174
2024-06-30,8.6373
2024-09-30,7.6334
2024-12-31,7.3352
2025-03-31,6.4208
2025-06-30,6.888
2025-09-30,10.983
2025-12-31,8.63
