QuarterEnd,NIBAS_Close_QuarterEnd
2016-03-31,0.1054
2016-06-30,0.1038
2016-09-30,0.11
2016-12-31,0.1286
2017-03-31,0.132
2017-06-30,0.1405
2017-09-30,0.1794
2017-12-31,0.1591
2018-03-31,0.2606
2018-06-30,0.176
2018-09-30,0.1133
2018-12-31,0.6667
2019-03-31,1.1833
2019-06-30,1.4617
2019-09-30,1.63
2019-12-31,1.0333
2020-03-31,0.9667
2020-06-30,1.595
2020-09-30,4.1533
2020-12-31,8.6667
2021-03-31,2.885
2021-06-30,2.3167
2021-09-30,1.3267
2021-12-31,2.4867
2022-03-31,1.6683
2022-06-30,1.4183
2022-09-30,1.4767
2022-12-31,2.715
2023-03-31,2.46
2023-06-30,2.3717
2023-09-30,3.4067
2023-12-31,2.7617
2024-03-31,3.3367
2024-06-30,2.75
2024-09-30,3.2483
2024-12-31,2.975
2025-03-31,2.39
2025-06-30,3.005
2025-09-30,3.9567
2025-12-31,3.62
