QuarterEnd,NTHOL_Close_QuarterEnd
2016-03-31,3.5133
2016-06-30,3.365
2016-09-30,3.5589
2016-12-31,3.2281
2017-03-31,2.8289
2017-06-30,2.92
2017-09-30,2.3
2017-12-31,2.21
2018-03-31,2.22
2018-06-30,1.96
2018-09-30,2.09
2018-12-31,1.96
2019-03-31,1.72
2019-06-30,1.65
2019-09-30,1.8
2019-12-31,2.6
2020-03-31,1.39
2020-06-30,2.47
2020-09-30,2.38
2020-12-31,3.43
2021-03-31,4.48
2021-06-30,4.13
2021-09-30,5.01
2021-12-31,6.68
2022-03-31,10.04
2022-06-30,10.42
2022-09-30,10.05
2022-12-31,15.05
2023-03-31,11.78
2023-06-30,13.5
2023-09-30,22.0
2023-12-31,19.32
2024-03-31,26.72
2024-06-30,38.38
2024-09-30,42.12
2024-12-31,43.48
2025-03-31,38.04
2025-06-30,45.2
2025-09-30,42.8
2025-12-31,48.46
