QuarterEnd,NUHCM_Close_QuarterEnd
2016-03-31,5.4704
2016-06-30,5.5049
2016-09-30,5.364
2016-12-31,5.9392
2017-03-31,6.0566
2017-06-30,6.3308
2017-09-30,6.1644
2017-12-31,6.382
2018-03-31,7.0413
2018-06-30,6.5521
2018-09-30,6.2858
2018-12-31,5.4239
2019-03-31,4.8633
2019-06-30,4.9307
2019-09-30,5.776
2019-12-31,9.298
2020-03-31,7.1378
2020-06-30,12.7727
2020-09-30,17.6905
2020-12-31,41.6784
2021-03-31,50.9393
2021-06-30,34.9373
2021-09-30,29.3313
2021-12-31,44.0838
2022-03-31,41.7797
2022-06-30,52.6787
2022-09-30,60.9439
2022-12-31,107.4465
2023-03-31,126.3553
2023-06-30,125.6076
2023-09-30,334.5798
2023-12-31,289.6335
2024-03-31,289.6349
2024-06-30,235.716
2024-09-30,249.315
2024-12-31,286.2948
2025-03-31,263.25
2025-06-30,215.3
2025-09-30,223.1
2025-12-31,222.9
