QuarterEnd,ODAS_Close_QuarterEnd
2016-03-31,0.8671
2016-06-30,1.2539
2016-09-30,1.0418
2016-12-31,1.1272
2017-03-31,1.4554
2017-06-30,2.138
2017-09-30,2.2103
2017-12-31,2.2826
2018-03-31,2.5679
2018-06-30,1.9859
2018-09-30,1.4342
2018-12-31,0.7266
2019-03-31,0.7689
2019-06-30,0.7276
2019-09-30,0.8721
2019-12-31,1.0837
2020-03-31,1.0195
2020-06-30,1.859
2020-09-30,2.1289
2020-12-31,2.9234
2021-03-31,2.6011
2021-06-30,1.3568
2021-09-30,1.37
2021-12-31,1.34
2022-03-31,1.69
2022-06-30,2.89
2022-09-30,6.34
2022-12-31,11.25
2023-03-31,6.14
2023-06-30,7.39
2023-09-30,13.25
2023-12-31,8.25
2024-03-31,9.17
2024-06-30,8.74
2024-09-30,6.49
2024-12-31,6.03
2025-03-31,5.07
2025-06-30,5.03
2025-09-30,5.47
2025-12-31,5.07
