QuarterEnd,ORGE_Close_QuarterEnd
2016-03-31,0.8746
2016-06-30,1.0337
2016-09-30,1.3297
2016-12-31,1.451
2017-03-31,1.7519
2017-06-30,2.145
2017-09-30,2.245
2017-12-31,2.5275
2018-03-31,2.3125
2018-06-30,1.7
2018-09-30,1.925
2018-12-31,1.95
2019-03-31,2.0812
2019-06-30,2.1688
2019-09-30,2.3812
2019-12-31,3.1
2020-03-31,2.5813
2020-06-30,4.15
2020-09-30,4.7688
2020-12-31,4.6125
2021-03-31,6.8438
2021-06-30,5.65
2021-09-30,5.88
2021-12-31,6.2
2022-03-31,6.92
2022-06-30,8.72
2022-09-30,13.56
2022-12-31,26.5
2023-03-31,22.08
2023-06-30,26.62
2023-09-30,63.95
2023-12-31,62.0
2024-03-31,70.3
2024-06-30,64.25
2024-09-30,77.4
2024-12-31,85.9
2025-03-31,86.05
2025-06-30,70.55
2025-09-30,70.6
2025-12-31,68.7
