QuarterEnd,ORMA_Close_QuarterEnd
2016-03-31,0.9865
2016-06-30,1.3086
2016-09-30,1.0671
2016-12-31,0.9765
2017-03-31,0.93
2017-06-30,1.35
2017-09-30,1.11
2017-12-31,1.13
2018-03-31,1.21
2018-06-30,1.0
2018-09-30,0.88
2018-12-31,1.2
2019-03-31,1.02
2019-06-30,1.2
2019-09-30,3.72
2019-12-31,2.76
2020-03-31,3.4
2020-06-30,4.75
2020-09-30,14.23
2020-12-31,14.72
2021-03-31,24.72
2021-06-30,28.22
2021-09-30,25.48
2021-12-31,36.5
2022-03-31,33.0
2022-06-30,29.6
2022-09-30,36.74
2022-12-31,75.1
2023-03-31,58.9
2023-06-30,56.75
2023-09-30,118.6
2023-12-31,130.0
2024-03-31,204.6
2024-06-30,228.1
2024-09-30,227.0
2024-12-31,193.6
2025-03-31,175.0
2025-06-30,175.0
2025-09-30,194.0
2025-12-31,168.9
