QuarterEnd,OSMEN_Close_QuarterEnd
2016-03-31,0.1151
2016-06-30,0.1351
2016-09-30,0.1477
2016-12-31,0.1393
2017-03-31,0.1007
2017-06-30,0.1021
2017-09-30,0.1768
2017-12-31,0.1469
2018-03-31,0.1885
2018-06-30,0.123
2018-09-30,0.0931
2018-12-31,0.0829
2019-03-31,0.0771
2019-06-30,0.0588
2019-09-30,0.0732
2019-12-31,0.2023
2020-03-31,0.3473
2020-06-30,0.4491
2020-09-30,1.0708
2020-12-31,1.5035
2021-03-31,1.5754
2021-06-30,1.0895
2021-09-30,1.2919
2021-12-31,1.2597
2022-03-31,1.1737
2022-06-30,1.0741
2022-09-30,1.7094
2022-12-31,3.1362
2023-03-31,2.3225
2023-06-30,5.0964
2023-09-30,12.5325
2023-12-31,8.4977
2024-03-31,10.1823
2024-06-30,13.5033
2024-09-30,8.6836
2024-12-31,10.0589
2025-03-31,9.0987
2025-06-30,8.9844
2025-09-30,8.6693
2025-12-31,7.84
