QuarterEnd,OTKAR_Close_QuarterEnd
2016-03-31,16.2437
2016-06-30,14.9949
2016-09-30,15.8451
2016-12-31,20.6218
2017-03-31,18.7175
2017-06-30,17.4865
2017-09-30,15.9399
2017-12-31,19.5382
2018-03-31,18.4839
2018-06-30,12.212
2018-09-30,13.434
2018-12-31,14.2837
2019-03-31,17.4455
2019-06-30,18.9589
2019-09-30,22.4513
2019-12-31,26.4427
2020-03-31,18.6485
2020-06-30,26.9207
2020-09-30,24.7808
2020-12-31,57.2583
2021-03-31,68.2877
2021-06-30,52.3119
2021-09-30,60.5538
2021-12-31,66.8012
2022-03-31,84.2499
2022-06-30,83.8553
2022-09-30,111.2153
2022-12-31,204.7562
2023-03-31,181.006
2023-06-30,193.4137
2023-09-30,359.9014
2023-12-31,419.6712
2024-03-31,459.6164
2024-06-30,659.0
2024-09-30,440.5
2024-12-31,484.5
2025-03-31,493.75
2025-06-30,409.75
2025-09-30,512.5
2025-12-31,486.0
