QuarterEnd,OYAKC_Close_QuarterEnd
2016-03-31,0.7196
2016-06-30,0.6849
2016-09-30,0.8014
2016-12-31,0.7771
2017-03-31,0.7858
2017-06-30,0.8136
2017-09-30,0.7399
2017-12-31,0.8023
2018-03-31,0.8921
2018-06-30,0.8061
2018-09-30,0.7461
2018-12-31,0.6794
2019-03-31,0.6919
2019-06-30,0.6434
2019-09-30,0.981
2019-12-31,1.4483
2020-03-31,1.2257
2020-06-30,1.7321
2020-09-30,1.9376
2020-12-31,2.148
2021-03-31,1.7468
2021-06-30,1.6563
2021-09-30,1.622
2021-12-31,1.9327
2022-03-31,2.2679
2022-06-30,3.0826
2022-09-30,3.3346
2022-12-31,5.1425
2023-03-31,8.0196
2023-06-30,10.1969
2023-09-30,19.5719
2023-12-31,13.5658
2024-03-31,14.8012
2024-06-30,15.3028
2024-09-30,16.2691
2024-12-31,22.8991
2025-03-31,29.0437
2025-06-30,20.7428
2025-09-30,20.2084
2025-12-31,23.04
