QuarterEnd,OYAYO_Close_QuarterEnd
2016-03-31,0.6269
2016-06-30,0.6088
2016-09-30,0.6542
2016-12-31,0.6633
2017-03-31,0.7723
2017-06-30,0.9631
2017-09-30,0.9631
2017-12-31,0.9177
2018-03-31,1.0176
2018-06-30,0.8249
2018-09-30,1.001
2018-12-31,1.5107
2019-03-31,1.0751
2019-06-30,1.0686
2019-09-30,1.7461
2019-12-31,2.2232
2020-03-31,4.9043
2020-06-30,6.6638
2020-09-30,6.1149
2020-12-31,6.6927
2021-03-31,8.7534
2021-06-30,6.9816
2021-09-30,6.5064
2021-12-31,6.5937
2022-03-31,6.1573
2022-06-30,8.4206
2022-09-30,8.5183
2022-12-31,12.9923
2023-03-31,10.3646
2023-06-30,11.64
2023-09-30,33.26
2023-12-31,23.86
2024-03-31,46.0
2024-06-30,38.46
2024-09-30,28.16
2024-12-31,25.9
2025-03-31,23.0
2025-06-30,24.56
2025-09-30,38.9
2025-12-31,54.45
