QuarterEnd,OYLUM_Close_QuarterEnd
2016-03-31,0.5438
2016-06-30,0.7346
2016-09-30,0.7404
2016-12-31,0.5438
2017-03-31,0.5929
2017-06-30,0.5698
2017-09-30,0.5264
2017-12-31,0.4917
2018-03-31,0.4801
2018-06-30,0.3847
2018-09-30,0.295
2018-12-31,0.295
2019-03-31,0.3182
2019-06-30,0.3615
2019-09-30,0.6132
2019-12-31,1.4722
2020-03-31,1.4966
2020-06-30,1.5061
2020-09-30,2.3831
2020-12-31,2.2449
2021-03-31,1.9684
2021-06-30,1.9589
2021-09-30,4.4516
2021-12-31,2.4355
2022-03-31,2.1638
2022-06-30,2.91
2022-09-30,3.64
2022-12-31,5.0
2023-03-31,3.64
2023-06-30,4.44
2023-09-30,9.03
2023-12-31,7.46
2024-03-31,10.82
2024-06-30,10.08
2024-09-30,7.8
2024-12-31,8.88
2025-03-31,7.25
2025-06-30,9.0
2025-09-30,11.23
2025-12-31,9.32
