QuarterEnd,OZGYO_Close_QuarterEnd
2016-03-31,0.1553
2016-06-30,0.1448
2016-09-30,0.1378
2016-12-31,0.1471
2017-03-31,0.1798
2017-06-30,0.2055
2017-09-30,0.1786
2017-12-31,0.1821
2018-03-31,1.1663
2018-06-30,0.9516
2018-09-30,1.3825
2018-12-31,0.5875
2019-03-31,0.2075
2019-06-30,0.1725
2019-09-30,0.29
2019-12-31,0.3925
2020-03-31,0.2725
2020-06-30,0.51
2020-09-30,0.5275
2020-12-31,0.555
2021-03-31,0.49
2021-06-30,0.3775
2021-09-30,0.3525
2021-12-31,0.3875
2022-03-31,0.5175
2022-06-30,0.5425
2022-09-30,0.795
2022-12-31,1.57
2023-03-31,1.005
2023-06-30,0.9775
2023-09-30,1.4075
2023-12-31,1.22
2024-03-31,1.3175
2024-06-30,1.375
2024-09-30,1.365
2024-12-31,1.3975
2025-03-31,1.195
2025-06-30,1.85
2025-09-30,1.963
2025-12-31,2.06
