QuarterEnd,OZKGY_Close_QuarterEnd
2016-03-31,0.364
2016-06-30,0.4361
2016-09-30,0.4121
2016-12-31,0.3211
2017-03-31,0.3537
2017-06-30,0.3692
2017-09-30,0.4035
2017-12-31,0.4018
2018-03-31,0.4293
2018-06-30,0.4567
2018-09-30,0.4172
2018-12-31,0.3623
2019-03-31,0.3709
2019-06-30,0.3795
2019-09-30,0.425
2019-12-31,0.6425
2020-03-31,0.5825
2020-06-30,1.0175
2020-09-30,1.0275
2020-12-31,1.275
2021-03-31,1.28
2021-06-30,0.965
2021-09-30,1.13
2021-12-31,1.6175
2022-03-31,2.11
2022-06-30,2.755
2022-09-30,4.025
2022-12-31,10.25
2023-03-31,6.11
2023-06-30,6.5
2023-09-30,9.47
2023-12-31,7.68
2024-03-31,8.6
2024-06-30,10.75
2024-09-30,11.47
2024-12-31,13.99
2025-03-31,11.49
2025-06-30,12.31
2025-09-30,13.14
2025-12-31,14.22
