QuarterEnd,OZRDN_Close_QuarterEnd
2016-03-31,0.4178
2016-06-30,0.3708
2016-09-30,0.3475
2016-12-31,0.5087
2017-03-31,0.4718
2017-06-30,0.6201
2017-09-30,0.5279
2017-12-31,0.6243
2018-03-31,0.8023
2018-06-30,0.7248
2018-09-30,0.6678
2018-12-31,0.5737
2019-03-31,0.6495
2019-06-30,0.6944
2019-09-30,0.6457
2019-12-31,0.6514
2020-03-31,0.5714
2020-06-30,0.6714
2020-09-30,2.5886
2020-12-31,2.5714
2021-03-31,2.4571
2021-06-30,2.96
2021-09-30,2.2029
2021-12-31,2.1143
2022-03-31,1.9714
2022-06-30,4.3086
2022-09-30,5.6829
2022-12-31,4.3571
2023-03-31,3.3429
2023-06-30,5.4314
2023-09-30,11.1371
2023-12-31,11.6629
2024-03-31,16.1714
2024-06-30,15.2143
2024-09-30,8.7829
2024-12-31,8.85
2025-03-31,8.55
2025-06-30,7.79
2025-09-30,9.6
2025-12-31,13.72
