QuarterEnd,PAGYO_Close_QuarterEnd
2016-03-31,2.1631
2016-06-30,2.2178
2016-09-30,2.1731
2016-12-31,2.1979
2017-03-31,2.2447
2017-06-30,2.2008
2017-09-30,2.0966
2017-12-31,2.6838
2018-03-31,2.7152
2018-06-30,2.7953
2018-09-30,2.534
2018-12-31,2.5462
2019-03-31,2.8157
2019-06-30,2.8738
2019-09-30,3.2062
2019-12-31,4.2934
2020-03-31,3.1799
2020-06-30,4.2309
2020-09-30,4.6754
2020-12-31,4.8287
2021-03-31,5.7317
2021-06-30,4.8542
2021-09-30,5.5314
2021-12-31,7.5669
2022-03-31,7.8877
2022-06-30,10.8456
2022-09-30,14.8862
2022-12-31,25.6722
2023-03-31,20.5004
2023-06-30,23.2343
2023-09-30,35.4658
2023-12-31,31.2445
2024-03-31,34.0609
2024-06-30,44.0944
2024-09-30,50.7655
2024-12-31,59.1445
2025-03-31,58.0776
2025-06-30,75.2556
2025-09-30,87.0
2025-12-31,82.35
